FECHA,Id. llamada,Dispositivo,COLA,ESTADO,SUB_ESTADO,INICIO,CONEXION,FIN,CRM,BASE
20260804,237588898,gw42," Aldana",200091,ANSWER,AGENT,04/08/2026 09:00:15,04/08/2026 09:00:27,0000,K
20260804,237588899,SPX_GSM6_GW6,0,BUSY,,04/08/2026 09:00:15,01/01/2000 00:00:00,04/08/2026 09:00:50,K,0
20260804,237588901,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,04/08/2026 09:00:15,04/08/2026 09:00:48,04/08/2026 09:01:13,K,2
20260804,237588902,SPX_GSM6_GW6,0,NOANSWER,EARLY_MEDIA,04/08/2026 09:00:15,01/01/2000 00:00:00,04/08/2026 09:00:25,K,0
20260804,237588912,SPX_GSM6_GW6,0,NOANSWER,EARLY_MEDIA,04/08/2026 09:00:17,01/01/2000 00:00:00,04/08/2026 09:00:32,K,0
20260804,237588913,SPX_GSM6_GW6,0,NOANSWER,,04/08/2026 09:00:17,01/01/2000 00:00:00,04/08/2026 09:00:54,K,0
20260804,237588914,SPX_GSM6_GW6,0,NOANSWER,,04/08/2026 09:00:17,01/01/2000 00:00:00,04/08/2026 09:00:47,K,0
20260804,237588915,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,04/08/2026 09:00:17,04/08/2026 09:00:40,04/08/2026 09:01:10,K,2
20260804,237588923,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,04/08/2026 09:00:26,04/08/2026 09:00:59,04/08/2026 09:01:13,K,0
20260804,237588924,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,04/08/2026 09:00:26,04/08/2026 09:00:34,04/08/2026 09:00:50,K,2
20260804,237588925,SPX_GSM14_GW14,0,CONGESTION,,04/08/2026 09:00:26,01/01/2000 00:00:00,04/08/2026 09:01:01,K,0
20260804,237588926,SPX_GSM14_GW14,0,NOANSWER,,04/08/2026 09:00:26,01/01/2000 00:00:00,04/08/2026 09:00:56,K,0
20260804,237588929,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,04/08/2026 09:00:28,04/08/2026 09:00:33,04/08/2026 09:01:03,K,2
20260804,237588932,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,04/08/2026 09:00:28,04/08/2026 09:00:35,04/08/2026 09:01:05,K,2
20260804,237588933,SPX_GSM19_GW19_4G,0,NOANSWER,,04/08/2026 09:00:28,01/01/2000 00:00:00,04/08/2026 09:00:58,K,0
