FECHA,Id. llamada,Dispositivo,COLA,ESTADO,SUB_ESTADO,INICIO,CONEXION,FIN,CRM,BASE
20260818,239547675,gw42,0,ANSWER,ANSWERING_MACHINE,18/08/2026 09:00:30,18/08/2026 09:00:36,18/08/2026 09:01:00,K,2
20260818,239547676,gw42,0,NOANSWER,,18/08/2026 09:00:30,01/01/2000 00:00:00,18/08/2026 09:01:00,K,0
20260818,239547677,gw42,0,NOANSWER,,18/08/2026 09:00:30,01/01/2000 00:00:00,18/08/2026 09:01:00,K,0
20260818,239547678,gw42,0,NOANSWER,,18/08/2026 09:00:30,01/01/2000 00:00:00,18/08/2026 09:01:00,K,0
20260818,239547680,SPX_GSM6_GW6,0,NOANSWER,,18/08/2026 09:00:33,01/01/2000 00:00:00,18/08/2026 09:01:09,K,0
20260818,239547682,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,18/08/2026 09:00:33,18/08/2026 09:01:05,18/08/2026 09:01:25,K,2
20260818,239547684,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,18/08/2026 09:00:33,18/08/2026 09:01:17,18/08/2026 09:01:30,K,0
20260818,239547685,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,18/08/2026 09:00:33,18/08/2026 09:01:03,18/08/2026 09:01:15,K,0
20260818,239547693,SPX_GSM6_GW6,0,NOANSWER,EARLY_MEDIA,18/08/2026 09:00:37,01/01/2000 00:00:00,18/08/2026 09:01:10,K,0
20260818,239547694,SPX_GSM6_GW6,0,NOANSWER,,18/08/2026 09:00:37,01/01/2000 00:00:00,18/08/2026 09:00:57,K,0
20260818,239547695,SPX_GSM6_GW6," Fabiola",200091,ANSWER,RINGING,18/08/2026 09:00:37,18/08/2026 09:00:53,0000,K
20260818,239547698,SPX_GSM6_GW6,0,NOANSWER,,18/08/2026 09:00:37,01/01/2000 00:00:00,18/08/2026 09:01:06,K,0
20260818,239547708,SPX_GSM14_GW14,0,NOANSWER,,18/08/2026 09:00:46,01/01/2000 00:00:00,18/08/2026 09:01:16,K,0
20260818,239547710,SPX_GSM14_GW14,0,NOANSWER,EARLY_MEDIA,18/08/2026 09:00:46,01/01/2000 00:00:00,18/08/2026 09:01:05,K,0
20260818,239547712,SPX_GSM14_GW14,0,NOANSWER,,18/08/2026 09:00:46,01/01/2000 00:00:00,18/08/2026 09:01:24,K,0
20260818,239547713,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,18/08/2026 09:00:46,18/08/2026 09:01:22,18/08/2026 09:01:47,K,2
20260818,239547715,SPX_GSM14_GW14,0,NOANSWER,,18/08/2026 09:00:47,01/01/2000 00:00:00,18/08/2026 09:01:17,K,0
