FECHA,Id. llamada,Dispositivo,COLA,ESTADO,SUB_ESTADO,INICIO,CONEXION,FIN,CRM,BASE
20260824,240508348,gw42,0,NOANSWER,,24/08/2026 09:00:05,01/01/2000 00:00:00,24/08/2026 09:00:14,K,0
20260824,240508349,gw42,0,BUSY,,24/08/2026 09:00:05,01/01/2000 00:00:00,24/08/2026 09:00:35,K,0
20260824,240508350,gw42,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:05,24/08/2026 09:00:28,24/08/2026 09:00:55,K,2
20260824,240508352,gw42,0,BUSY,,24/08/2026 09:00:05,01/01/2000 00:00:00,24/08/2026 09:00:35,K,0
20260824,240508357,gw42,0,NOANSWER,,24/08/2026 09:00:06,01/01/2000 00:00:00,24/08/2026 09:00:36,K,0
20260824,240508358,gw42,0,NOANSWER,EARLY_MEDIA,24/08/2026 09:00:06,01/01/2000 00:00:00,24/08/2026 09:00:19,K,0
20260824,240508360,gw42,0,NOANSWER,,24/08/2026 09:00:06,01/01/2000 00:00:00,24/08/2026 09:00:36,K,0
20260824,240508361,gw42,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:06,24/08/2026 09:00:24,24/08/2026 09:00:54,K,2
20260824,240508372,gw42,0,NOANSWER,,24/08/2026 09:00:13,01/01/2000 00:00:00,24/08/2026 09:00:43,K,0
20260824,240508373,gw42,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:13,24/08/2026 09:00:21,24/08/2026 09:00:44,K,2
20260824,240508375,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:13,24/08/2026 09:00:41,24/08/2026 09:01:00,K,2
20260824,240508376,SPX_GSM6_GW6,0,NOANSWER,,24/08/2026 09:00:13,01/01/2000 00:00:00,24/08/2026 09:00:48,K,0
20260824,240508378,SPX_GSM6_GW6,0,NOANSWER,,24/08/2026 09:00:15,01/01/2000 00:00:00,24/08/2026 09:00:51,K,0
20260824,240508379,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:15,24/08/2026 09:00:51,24/08/2026 09:01:19,K,2
20260824,240508380,SPX_GSM6_GW6,0,NOANSWER,,24/08/2026 09:00:15,01/01/2000 00:00:00,24/08/2026 09:00:40,K,0
20260824,240508381,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:15,24/08/2026 09:00:31,24/08/2026 09:00:56,K,2
20260824,240508389,SPX_GSM6_GW6,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:19,24/08/2026 09:00:38,24/08/2026 09:01:03,K,2
20260824,240508390,SPX_GSM14_GW14,0,NOANSWER,,24/08/2026 09:00:19,01/01/2000 00:00:00,24/08/2026 09:00:49,K,0
20260824,240508392,SPX_GSM14_GW14,0,NOANSWER,,24/08/2026 09:00:19,01/01/2000 00:00:00,24/08/2026 09:00:56,K,0
20260824,240508400,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:20,24/08/2026 09:00:57,24/08/2026 09:01:15,K,0
20260824,240508402,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:20,24/08/2026 09:00:32,24/08/2026 09:00:58,K,2
20260824,240508406,SPX_GSM14_GW14,0,NOANSWER,,24/08/2026 09:00:20,01/01/2000 00:00:00,24/08/2026 09:00:59,K,0
20260824,240508407,SPX_GSM14_GW14,0,NOANSWER,,24/08/2026 09:00:20,01/01/2000 00:00:00,24/08/2026 09:00:50,K,0
20260824,240508409,SPX_GSM14_GW14,0,NOANSWER,,24/08/2026 09:00:23,01/01/2000 00:00:00,24/08/2026 09:01:09,K,0
20260824,240508410,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:23,24/08/2026 09:00:32,24/08/2026 09:01:07,K,2
20260824,240508411,SPX_GSM14_GW14,0,NOANSWER,EARLY_MEDIA,24/08/2026 09:00:23,01/01/2000 00:00:00,24/08/2026 09:00:50,K,0
20260824,240508412,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:23,24/08/2026 09:00:42,24/08/2026 09:00:51,K,2
20260824,240508413,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:24,24/08/2026 09:00:41,24/08/2026 09:00:58,K,2
20260824,240508414,SPX_GSM14_GW14,0,CONGESTION,,24/08/2026 09:00:24,01/01/2000 00:00:00,24/08/2026 09:00:45,K,0
20260824,240508415,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:24,24/08/2026 09:00:45,24/08/2026 09:01:09,K,2
20260824,240508416,SPX_GSM14_GW14,0,ANSWER,ANSWERING_MACHINE,24/08/2026 09:00:24,24/08/2026 09:01:00,24/08/2026 09:01:15,K,0
